Surrogate code,Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Si_ppm,Ti_ppm,Al_ppm,Fe_ppm,Mn_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Bag_Info
Suco201460,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_20,149.3,38.3,33.6,170.5,13.7,,,,,,,,,,
Suco201461,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_21,133.3,37.1,35.3,163.1,10.4,,,,,,,,,,
Suco201462,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_22,142.2,38.8,33.2,179.0,11.0,,,,,,,,,,
Suco201463,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_23,137.4,33.6,34.3,158.1,11.5,,,,,,,,,,
Suco201464,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_24,151.4,33.9,37.6,165.7,13.0,,,,,,,,,,
Suco201465,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_25,146.2,38.2,33.5,184.7,11.1,,,,,,,,,,
Suco201466,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_26,141.8,37.9,37.0,169.3,11.1,,,,,,,,,,
Suco201467,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_27,158.4,44.1,40.3,196.3,14.0,,,,,,,,,,
Suco201468,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_28,153.8,40.4,40.0,163.8,12.7,,,,,,,,,,
Suco201469,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_29,135.1,38.6,40.2,177.6,11.9,,,,,,,,,,
