Surrogate code,Sample_Type,Sample_ID,Study Area,Source_Specific
Suco2014221,Artefact,HB_FS_21_57_66,Helena Bay,Huruiki
Suco2014222,Artefact,HB_FS_21_57_67,Helena Bay,Huruiki
Suco2014223,Artefact,HB_FS_21_57_68,Helena Bay,Huruiki
Suco2014224,Artefact,HB_FS_21_57_69,Helena Bay,Huruiki
Suco2014225,Artefact,HB_FS_21_57_7,Helena Bay,Huruiki
Suco2014226,Artefact,HB_FS_21_57_70,Helena Bay,Huruiki
Suco2014227,Artefact,HB_FS_21_57_71,Helena Bay,Huruiki
Suco2014228,Artefact,HB_FS_21_57_72,Helena Bay,Huruiki
Suco2014229,Artefact,HB_FS_21_57_73,Helena Bay,Huruiki
Suco2014230,Artefact,HB_FS_21_57_74,Helena Bay,Huruiki
Suco2014231,Artefact,HB_FS_21_57_75,Helena Bay,Huruiki
Suco2014232,Artefact,HB_FS_21_57_76,Helena Bay,Huruiki
Suco2014233,Artefact,HB_FS_21_57_77,Helena Bay,Huruiki
Suco2014234,Artefact,HB_FS_21_57_8,Helena Bay,Huruiki
Suco2014235,Artefact,HB_FS_21_57_9,Helena Bay,Huruiki
Suco2014236,Artefact,HB_FS_21_59_1,Helena Bay,Huruiki
Suco2014237,Artefact,HB_FS_21_59_10,Helena Bay,Huruiki
Suco2014238,Artefact,HB_FS_21_59_100,Helena Bay,Huruiki
Suco2014239,Artefact,HB_FS_21_59_101,Helena Bay,Huruiki
Suco2014240,Artefact,HB_FS_21_59_102,Helena Bay,Huruiki
Suco2014241,Artefact,HB_FS_21_59_103,Helena Bay,Huruiki
Suco2014242,Artefact,HB_FS_21_59_104,Helena Bay,Huruiki
Suco2014243,Artefact,HB_FS_21_59_105,Helena Bay,Huruiki
Suco2014244,Artefact,HB_FS_21_59_106,Helena Bay,Huruiki
Suco2014245,Artefact,HB_FS_21_59_107,Helena Bay,Huruiki
Suco2014246,Artefact,HB_FS_21_59_108,Helena Bay,Huruiki
Suco2014247,Artefact,HB_FS_21_59_109,Helena Bay,Huruiki
Suco2014248,Artefact,HB_FS_21_59_11,Helena Bay,Huruiki
